subject,excluded,img,EmoRating,emotionality,attn,study,bad_trial,IA_name
105,0,CompNeu002.jpg,1,neu,BG,study2,0,CompNeu002.ias
105,0,2717ps.jpg,3,emo,FG,study2,0,2717ps.ias
105,0,9425ps.jpg,2,emo,BG,study2,0,9425ps.ias
105,0,CompNeu041.jpg,1,neu,BG,study2,0,CompNeu041.ias
105,0,6555ps.jpg,4,emo,FG,study2,0,6555ps.ias
105,0,H015ps.jpg,2,emo,FG,study2,0,H015ps.ias
105,0,CompNeu040.jpg,1,neu,FG,study2,0,CompNeu040.ias
105,0,H099ps.jpg,2,emo,BG,study2,0,H099ps.ias
105,0,3181ps.jpg,5,emo,FG,study2,0,3181ps.ias
105,0,CompNeu024.jpg,1,neu,BG,study2,0,CompNeu024.ias
105,0,CompNeu030.jpg,2,neu,FG,study2,0,CompNeu030.ias
105,0,H064ps.jpg,5,emo,BG,study2,0,H064ps.ias
105,0,2375ps.jpg,2,emo,BG,study2,0,2375ps.ias
105,0,6315ps.jpg,4,emo,FG,study2,0,6315ps.ias
105,0,CompNeu006.jpg,1,neu,FG,study2,0,CompNeu006.ias
105,0,Faces_172ps.jpg,5,emo,BG,study2,0,Faces_172ps.ias
105,0,H087ps.jpg,3,emo,FG,study2,0,H087ps.ias
105,0,CompNeu013.jpg,1,neu,BG,study2,0,CompNeu013.ias
105,0,2718ps.jpg,1,emo,BG,study2,0,2718ps.ias
105,0,7361ps.jpg,4,emo,FG,study2,0,7361ps.ias
105,0,CompNeu011.jpg,1,neu,BG,study2,0,CompNeu011.ias
105,0,6821ps.jpg,2,emo,BG,study2,0,6821ps.ias
105,0,H025ps.jpg,,emo,FG,study2,0,H025ps.ias
105,0,CompNeu046.jpg,2,neu,FG,study2,0,CompNeu046.ias
105,0,H037ps.jpg,2,emo,BG,study2,0,H037ps.ias
105,0,CompNeu019.jpg,2,neu,FG,study2,0,CompNeu019.ias
105,0,2730ps.jpg,5,emo,FG,study2,0,2730ps.ias
105,0,CompNeu029.jpg,1,neu,BG,study2,0,CompNeu029.ias
105,0,H084ps.jpg,2,emo,BG,study2,0,H084ps.ias
105,0,Objects_003ps.jpg,1,emo,FG,study2,0,Objects_003ps.ias
105,0,Faces_147ps.jpg,2,emo,BG,study2,0,Faces_147ps.ias
105,0,CompNeu058.jpg,1,neu,BG,study2,0,CompNeu058.ias
105,0,CompNeu012.jpg,1,neu,FG,study2,0,CompNeu012.ias
105,0,H041ps.jpg,5,emo,FG,study2,0,H041ps.ias
105,0,230ps.jpg,3,emo,BG,study2,0,230ps.ias
105,0,CompNeu034.jpg,1,neu,BG,study2,0,CompNeu034.ias
105,0,People_070ps.jpg,3,emo,FG,study2,0,People_070ps.ias
105,0,H036ps.jpg,4,emo,BG,study2,0,H036ps.ias
105,0,2095ps.jpg,3,emo,FG,study2,0,2095ps.ias
105,0,3500ps.jpg,5,emo,BG,study2,0,3500ps.ias
105,0,CompNeu020.jpg,1,neu,FG,study2,0,CompNeu020.ias
105,0,2710ps.jpg,2,emo,FG,study2,0,2710ps.ias
105,0,3225ps.jpg,5,emo,BG,study2,0,3225ps.ias
105,0,CompNeu014.jpg,1,neu,BG,study2,0,CompNeu014.ias
105,0,3530ps.jpg,4,emo,FG,study2,0,3530ps.ias
105,0,CompNeu001.jpg,1,neu,BG,study2,0,CompNeu001.ias
105,0,2750ps.jpg,2,emo,BG,study2,0,2750ps.ias
105,0,215ps.jpg,1,emo,FG,study2,0,215ps.ias
105,0,CompNeu056.jpg,1,neu,FG,study2,0,CompNeu056.ias
105,0,6243ps.jpg,1,emo,BG,study2,0,6243ps.ias
105,0,1201ps.jpg,3,emo,BG,study2,0,1201ps.ias
105,0,CompNeu042.jpg,1,neu,FG,study2,0,CompNeu042.ias
105,0,3550ps.jpg,2,emo,BG,study2,0,3550ps.ias
105,0,MAPS338ps.jpg,4,emo,FG,study2,0,MAPS338ps.ias
105,0,H038ps.jpg,4,emo,FG,study2,0,H038ps.ias
105,0,H053ps.jpg,1,emo,BG,study2,0,H053ps.ias
105,0,Faces_011ps.jpg,3,emo,FG,study2,0,Faces_011ps.ias
105,0,3230ps.jpg,5,emo,FG,study2,0,3230ps.ias
105,0,CompNeu057.jpg,1,neu,FG,study2,0,CompNeu057.ias
105,0,Faces_025ps.jpg,3,emo,FG,study2,0,Faces_025ps.ias
105,0,CompNeu038.jpg,1,neu,FG,study2,0,CompNeu038.ias
105,0,9254ps.jpg,5,emo,FG,study2,0,9254ps.ias
105,0,H083ps.jpg,2,emo,BG,study2,0,H083ps.ias
105,0,6313ps.jpg,3,emo,BG,study2,0,6313ps.ias
105,0,CompNeu007.jpg,1,neu,BG,study2,0,CompNeu007.ias
105,0,1275ps.jpg,2,emo,FG,study2,0,1275ps.ias
105,0,CompNeu045.jpg,1,neu,BG,study2,0,CompNeu045.ias
105,0,H122ps.jpg,3,emo,BG,study2,0,H122ps.ias
105,0,CompNeu017.jpg,2,neu,FG,study2,0,CompNeu017.ias
105,0,6836ps.jpg,1,emo,BG,study2,0,6836ps.ias
105,0,214ps.jpg,3,emo,FG,study2,0,214ps.ias
105,0,CompNeu026.jpg,1,neu,BG,study2,0,CompNeu026.ias
105,0,9428ps.jpg,4,emo,FG,study2,0,9428ps.ias
105,0,2691ps.jpg,1,emo,BG,study2,0,2691ps.ias
105,0,2700ps.jpg,2,emo,FG,study2,0,2700ps.ias
105,0,CompNeu050.jpg,1,neu,FG,study2,0,CompNeu050.ias
105,0,Faces_149ps.jpg,3,emo,BG,study2,0,Faces_149ps.ias
105,0,H059ps.jpg,1,emo,BG,study2,0,H059ps.ias
105,0,CompNeu031.jpg,1,neu,FG,study2,0,CompNeu031.ias
105,0,3101ps.jpg,4,emo,BG,study2,0,3101ps.ias
105,0,8230ps.jpg,4,emo,FG,study2,0,8230ps.ias
105,0,9415ps.jpg,2,emo,FG,study2,0,9415ps.ias
105,0,CompNeu060.jpg,1,neu,BG,study2,0,CompNeu060.ias
105,0,6415ps.jpg,4,emo,BG,study2,0,6415ps.ias
105,0,CompNeu004.jpg,1,neu,FG,study2,0,CompNeu004.ias
